Name,Rtg,Pos,Club,League,Nationality,DIV,HAN,KIC,REF,SPE,POS,WF,Skill
Vaso Vasić,69,GK,Royal Excel Mouscron,1A Pro League,SRB,74,59,67,72,43,71,3,1
Craig MacGillivray,69,GK,Portsmouth,EFL League One,SCO,69,65,64,73,51,66,3,1
Fabian Bredlow,69,GK,VfB Stuttgart,Bundesliga,GER,71,68,62,71,39,64,4,1
No Dong Geon,69,GK,Suwon Samsung Bluewings,K League 1,KOR,69,67,65,71,42,69,3,1
Nils Körber,69,GK,Hertha Berlin,Bundesliga,GER,71,64,59,75,35,67,3,1
Patrik Carlgren,69,GK,Randers FC,3F Superliga,SWE,70,66,64,67,33,69,2,1
Sondre Rossbach,69,GK,Odds BK,Eliteserien,NOR,70,66,66,72,45,67,3,1
Markus Kolke,69,GK,FC Hansa Rostock,3. Liga,GER,70,65,59,74,45,67,2,1
Marc-Aurèle Caillard,69,GK,FC Metz,Ligue 1 Uber Eats,FRA,73,64,59,72,44,70,3,1
Per Kristian Bråtveit,69,GK,Djurgårdens IF,Allsvenskan,NOR,70,65,72,67,45,70,3,1
Daniel Bachmann,69,GK,Watford,EFL Championship,AT,68,67,68,69,45,65,3,1
Jérémy Frick,69,GK,Servette FC,RSL,SUI,68,67,69,69,44,66,2,1
Nicolas,69,GK,Udinese,Serie A TIM,BRA,71,69,64,71,43,67,5,1
Benjamin van Leer,69,GK,Sparta Rotterdam,Eredivisie,NED,67,71,63,69,43,68,2,1
Ibrahim Šehić,69,GK,Konyaspor,Süper Lig,BOS,65,70,66,69,32,71,1,1
Zander Clark,69,GK,St. Johnstone FC,Scottish Prem,SCO,66,65,70,75,31,70,2,1
Yang Han Been,69,GK,FC Seoul,K League 1,KOR,70,63,60,73,43,69,3,1
Ertaç Özbir,69,GK,Gençlerbirliği SK,Süper Lig,TUR,70,69,61,70,29,69,2,1
Colin Coosemans,69,GK,KAA Gent,1A Pro League,BEL,70,63,70,72,44,68,4,1
Peter Abrahamsson,69,GK,BK Häcken,Allsvenskan,SWE,69,70,68,68,41,68,3,1
Declan Rudd,69,GK,Preston North End,EFL Championship,ENG,72,62,64,73,51,65,3,1
Raphael Wolf,69,GK,Fortuna Düsseldorf,Bundesliga 2,GER,70,67,65,69,34,67,2,1
Mauro Vigorito,69,GK,Lecce,Calcio B,ITA,70,67,63,73,44,66,2,1
Denis Petrić,69,GK,FC Nantes,Ligue 1 Uber Eats,SRB,69,63,61,71,44,71,2,1
Ricardo Ferreira,69,GK,Portimonense SC,Liga NOS,POR,71,69,62,69,48,67,3,1
Mitchell Langerak,69,GK,Nagoya Grampus,Meiji Yasuda J1,AUS,71,67,52,72,26,67,3,1
Wayne Sandilands,69,GK,Orlando Pirates,South African FL,SAF,69,70,67,71,52,68,3,1
Mike Vanhamel,69,GK,Beerschot VA,1A Pro League,BEL,69,68,72,70,41,68,2,1
Kenny Steppe,69,GK,Sint-Truidense VV,1A Pro League,BEL,69,68,64,70,44,68,2,1
Samir Ujkani,69,GK,Torino,Serie A TIM,KOS,69,68,62,69,50,71,2,1
Frank Fielding,69,GK,Millwall,EFL Championship,ENG,67,67,60,74,41,66,3,1
Quentin Westberg,69,GK,Toronto FC,MLS,USA,68,65,65,69,42,70,3,1
Iván Vázquez,69,GK,Fútbol Club Juárez,LIGA BBVA MX,MEX,66,67,71,70,43,69,3,1
Antonio Rosati,69,GK,Torino,Serie A TIM,ITA,68,69,46,68,32,70,1,1
Răzvan Pleșca,69,GK,CS Gaz Metan Mediaș,Liga I,ROM,69,70,70,65,34,68,3,1
Marvin Schwäbe,68,GK,1. FC Köln,Bundesliga,GER,71,68,77,69,47,63,3,1
Arijanet Muric,68,GK,Willem II,Eredivisie,KOS,70,65,76,71,45,66,2,1
Ortwin De Wolf,68,GK,Royal Antwerp FC,1A Pro League,BEL,67,68,74,70,35,67,3,1
William Yarbrough,68,GK,Club León,LIGA BBVA MX,USA,67,62,70,68,58,68,3,1
Dejan Stojanović,68,GK,FC St. Pauli,Bundesliga 2,MAC,69,63,59,70,37,66,2,1
Arijanet Muric,68,GK,Girona FC,LaLiga SmartBank,KOS,70,65,76,71,45,66,2,1
Ortwin De Wolf,68,GK,KAS Eupen,1A Pro League,BEL,67,68,74,70,35,67,3,1
Arthur Desmas,68,GK,Clermont Foot 63,Ligue 2 BKT,FRA,68,67,66,70,29,67,2,1
Vanja Milinković-Savić,68,GK,Torino,Serie A TIM,SRB,67,66,78,68,42,67,3,1
Marvin Schwäbe,68,GK,Brøndby IF,3F Superliga,GER,71,68,77,69,47,63,3,1
Cameron Dawson,68,GK,Sheffield Wednesday,EFL Championship,ENG,66,66,68,72,54,63,3,1
Kelle Roos,68,GK,Derby County,EFL Championship,NED,72,60,71,70,42,68,4,1
Dejan Stojanović,68,GK,Middlesbrough,EFL Championship,MAC,69,63,59,70,37,66,2,1
Yanick Brecher,68,GK,FC Zürich,RSL,SUI,70,63,65,71,40,66,3,1
Rubén Miño,68,GK,UD Logroñés,LaLiga SmartBank,ESP,65,69,63,71,57,68,2,1
Samuel Şahin-Radlinger,68,GK,SV Ried,Ö. Bundesliga,AT,70,62,59,71,40,68,2,1
Jon McLaughlin,68,GK,Rangers FC,Scottish Prem,SCO,68,68,69,68,56,67,3,1
William Yarbrough,68,GK,Colorado Rapids,MLS,USA,67,62,70,68,58,68,3,1
David Button,68,GK,West Bromwich Albion,Premier League,ENG,70,67,65,68,54,65,3,1
Fatih Öztürk,68,GK,Galatasaray SK,Süper Lig,TUR,71,63,62,71,56,69,2,1
Kim Young Kwang,68,GK,Seongnam FC,K League 1,KOR,62,71,60,68,56,68,3,1
Joe Lumley,68,GK,Middlesbrough,EFL Championship,ENG,69,67,69,68,44,64,3,1
Cătălin Căbuz,68,GK,AFC Chindia Târgoviște,Liga I,ROM,66,67,66,68,35,68,2,1
Ofir Marciano,68,GK,Feyenoord,Eredivisie,ISR,69,67,60,70,42,66,3,1
Fabrice Ondoa,68,GK,D. Alavés,LaLiga Santander,CAM,71,62,61,75,52,68,2,1
Cristiano,68,GK,FC CFR 1907 Cluj,Liga I,POR,67,64,61,70,29,70,2,1
Nick Marsman,68,GK,Inter Miami CF,MLS,NED,69,60,68,72,38,65,3,1
Joris Delle,68,GK,KV Kortrijk,1A Pro League,FRA,68,67,64,68,50,67,2,1
José Devecchi,68,GK,Club Atlético Aldosivi,Primera División,ARG,67,65,59,70,47,68,2,1
José Devecchi,68,GK,San Lorenzo de Almagro,Primera División,ARG,67,65,59,70,47,68,2,1
Kosuke Nakamura,68,GK,Portimonense SC,Liga NOS,JAP,71,62,69,71,40,64,3,1
Bobby Allain,68,GK,Örebro SK,Allsvenskan,FRA,70,65,68,69,38,65,2,1
Liam Kelly,68,GK,Motherwell,Scottish Prem,SCO,70,65,72,69,37,68,3,1
Oscar Jansson,68,GK,IFK Norrköping,Allsvenskan,SWE,70,64,64,69,31,68,2,1
Joe Lumley,68,GK,Doncaster Rovers,EFL League One,ENG,69,67,69,68,44,64,3,1
Michal Peškovič,68,GK,Podbeskidzie,PKO Ekstraklasa,SVK,68,64,65,66,31,70,3,1
Maximiliano Gagliardo,68,GK,Arsenal de Sarandí,Primera División,ARG,67,62,63,70,36,69,3,1
Cătălin Căbuz,68,GK,FC Viitorul Constanța,Liga I,ROM,66,67,66,68,35,68,2,1
Álvaro Vallés,68,GK,UD Las Palmas,LaLiga SmartBank,ESP,70,67,64,66,29,68,2,1
Keisuke Osako,68,GK,Sanfrecce Hiroshima,Meiji Yasuda J1,JAP,68,67,65,70,30,64,2,1
Josep Martínez,68,GK,RB Leipzig,Bundesliga,ESP,70,68,64,69,26,67,3,1
Maarten Vandevoordt,68,GK,KRC Genk,1A Pro League,BEL,72,67,64,71,16,59,2,1
Alexander Meyer,68,GK,SSV Jahn Regensburg,Bundesliga 2,GER,70,65,69,69,25,63,3,1
Lennart Grill,68,GK,Bayer 04 Leverkusen,Bundesliga,GER,68,65,62,73,40,64,3,1
Álvaro,68,GK,SD Huesca,LaLiga Santander,ESP,72,65,63,70,45,66,2,1
Radosław Majecki,68,GK,AS Monaco,Ligue 1 Uber Eats,POL,69,65,62,67,28,70,3,1
Riccardo Piscitelli,68,GK,Nacional,Liga NOS,ITA,68,69,60,70,43,66,3,1
Alex Craninx,68,GK,Molde FK,Eliteserien,BEL,69,65,62,70,36,66,4,1
Sebastián Jurado,68,GK,Cruz Azul,LIGA BBVA MX,MEX,72,64,65,72,52,68,2,1
Ratón,68,GK,R. Zaragoza,LaLiga SmartBank,ESP,64,69,68,68,49,67,2,1
Fabijan Buntić,68,GK,FC Ingolstadt 04,3. Liga,CRO,69,68,66,69,24,68,2,1
Christoph Riegler,68,GK,spusu SKN St. Pölten,Ö. Bundesliga,AT,68,66,61,72,30,65,2,1
Kosuke Nakamura,68,GK,Kashiwa Reysol,Meiji Yasuda J1,JAP,71,62,69,71,40,64,3,1
Tyler Miller,68,GK,Minnesota United FC,MLS,USA,69,65,66,68,33,67,2,1
Maxence Prévot,68,GK,FC Sochaux-Montbéliard,Ligue 2 BKT,FRA,67,66,67,69,36,68,3,1
Boris Radunović,68,GK,Atalanta,Serie A TIM,SRB,69,68,64,71,42,69,2,1
Bobby Allain,68,GK,Olympiacos CFP,Hellas Liga,FRA,70,65,68,69,38,65,2,1
Liam Kelly,68,GK,Queens Park Rangers,EFL Championship,SCO,70,65,72,69,37,68,3,1
Konstantinos Kotsaris,68,GK,Panathinaikos FC,Hellas Liga,GRE,70,65,60,73,49,67,3,1
Liu Dianzuo,68,GK,Guangzhou Evergrande Taobao FC,CSL,CPR,66,67,64,70,50,69,3,1
Yoan Cardinale,68,GK,OGC Nice,Ligue 1 Uber Eats,FRA,69,67,69,71,48,66,3,1
Ofir Marciano,68,GK,Hibernian,Scottish Prem,ISR,69,67,60,70,42,66,3,1
Sosha Makani,68,GK,Mjøndalen IF,Eliteserien,IRN,69,66,60,73,44,68,2,1
Joe Lumley,68,GK,Queens Park Rangers,EFL Championship,ENG,69,67,69,68,44,64,3,1
Marius Gersbeck,68,GK,Karlsruher SC,Bundesliga 2,GER,67,69,58,70,41,65,3,1
Fabrice Ondoa,68,GK,KV Oostende,1A Pro League,CAM,71,62,61,75,52,68,2,1
Niklas Lomb,68,GK,Bayer 04 Leverkusen,Bundesliga,GER,70,64,66,71,38,65,3,1
Filip Bednarek,68,GK,Lech Poznań,PKO Ekstraklasa,POL,66,65,64,70,44,68,2,1
Mickey van der Hart,68,GK,Lech Poznań,PKO Ekstraklasa,NED,70,64,70,72,42,64,3,1
Matúš Putnocký,68,GK,Śląsk Wrocław,PKO Ekstraklasa,SVK,69,70,64,68,44,70,2,1
Ferhat Kaplan,68,GK,Antalyaspor,Süper Lig,TUR,63,68,70,67,46,71,1,1
Cristiano,68,GK,AFC Hermannstadt,Liga I,POR,67,64,61,70,29,70,2,1
Johannes Brinkies,68,GK,FSV Zwickau,3. Liga,GER,67,64,65,74,52,69,5,1
Anton Kochenkov,68,GK,Lokomotiv Moscow,League of Russia,RUS,65,66,67,71,47,67,3,1
Nick Marsman,68,GK,Feyenoord,Eredivisie,NED,69,60,68,72,38,65,3,1
Nicolai Larsen,68,GK,En Avant Guingamp,Ligue 2 BKT,DEN,67,66,69,71,43,69,3,1
Raúl Lizoain,68,GK,CD Mirandés,LaLiga SmartBank,ESP,67,69,63,67,50,67,2,1
Joris Delle,68,GK,Orlando Pirates,South African FL,FRA,68,67,64,68,50,67,2,1
Pedro Trigueira,68,GK,CD Tondela,Liga NOS,POR,64,66,70,70,45,69,3,1
Oscar Jansson,68,GK,Örebro SK,Allsvenskan,SWE,70,64,64,69,31,68,2,1
Korcan Çelikay,68,GK,MKE Ankaragücü,Süper Lig,TUR,68,66,61,73,30,67,2,1
Tommi Vaiho,68,GK,Djurgårdens IF,Allsvenskan,SWE,72,65,63,67,31,66,2,1
Yannick Thoelen,68,GK,KV Mechelen,1A Pro League,BEL,67,70,64,68,38,69,2,1
Michal Peškovič,68,GK,Cracovia,PKO Ekstraklasa,SVK,68,64,65,66,31,70,3,1
Wu Yan,68,GK,Henan Jianye FC,CSL,CPR,71,64,61,69,50,66,2,1
Eiji Kawashima,68,GK,RC Strasbourg Alsace,Ligue 1 Uber Eats,JAP,67,65,64,72,43,65,3,1
Przemysław Tytoń,68,GK,FC Cincinnati,MLS,POL,67,64,66,70,50,66,2,1
Trevor Carson,68,GK,Motherwell,Scottish Prem,NIR,69,68,63,66,53,68,2,1
Jamie Young,68,GK,Brisbane Roar,A-League,ENG,66,66,63,70,48,64,2,1
Vincent Demarconnay,68,GK,Paris FC,Ligue 2 BKT,FRA,67,65,69,65,42,72,3,1
Rémy Descamps,67,GK,FC Nantes,Ligue 1 Uber Eats,FRA,70,65,61,68,43,66,3,1
Spencer Richey,67,GK,Seattle Sounders FC,MLS,USA,66,65,66,69,57,65,2,1
Mile Svilar,67,GK,SL Benfica,Liga NOS,BEL,70,64,63,68,59,64,3,1
Kjell Scherpen,67,GK,Ajax,Eredivisie,NED,67,66,64,69,41,66,5,1
Spencer Richey,67,GK,FC Cincinnati,MLS,USA,66,65,66,69,57,65,2,1
Valentin Cojocaru,67,GK,FC Viitorul Constanța,Liga I,ROM,66,67,66,69,34,65,2,1
Rémy Descamps,67,GK,Sporting Charleroi,1A Pro League,FRA,70,65,61,68,43,66,3,1
Gu Chao,67,GK,Jiangsu Suning FC,CSL,CPR,68,64,62,69,50,63,1,1
Dani Sotres,67,GK,Cádiz CF,LaLiga Santander,ESP,74,64,69,75,58,53,4,1
Guillaume Hubert,67,GK,KV Oostende,1A Pro League,BEL,70,65,64,66,42,65,2,1
Paul Izzo,67,GK,Adelaide United,A-League,AUS,68,63,63,69,55,66,3,1
Laurent Henkinet,67,GK,Standard de Liège,1A Pro League,BEL,68,67,62,66,58,65,3,1
Anssi Jaakkola,67,GK,Bristol Rovers,EFL League One,FIN,68,64,59,70,58,68,1,1
Bram Castro,67,GK,KV Oostende,1A Pro League,BEL,68,68,52,63,36,74,2,1
Jean-François Gillet,67,GK,Standard de Liège,1A Pro League,BEL,64,70,69,64,39,74,2,1
Daniel Iversen,67,GK,Leicester City,Premier League,DEN,69,65,69,68,42,67,2,1
Pontus Dahlberg,67,GK,Watford,EFL Championship,SWE,67,64,65,68,27,65,3,1
Xavier Mous,67,GK,SC Heerenveen,Eredivisie,NED,69,66,65,65,39,63,2,1
Marko Maroši,67,GK,Shrewsbury,EFL League One,SVK,68,64,68,68,41,66,3,1
Simon Moore,67,GK,Coventry City,EFL Championship,ENG,66,68,71,67,49,64,3,1
Thorsten Kirschbaum,67,GK,SSV Jahn Regensburg,Bundesliga 2,GER,70,66,67,69,26,61,2,1
Ben Amos,67,GK,Wigan Athletic,EFL League One,ENG,65,67,70,69,48,65,2,1
Ben Hamer,67,GK,Swansea City,EFL Championship,ENG,68,62,66,68,45,66,3,1
Jordan Archer,67,GK,Middlesbrough,EFL Championship,SCO,69,65,66,69,43,68,2,1
Daniel Iversen,67,GK,Preston North End,EFL Championship,DEN,69,65,69,68,42,67,2,1
David Mitov Nilsson,67,GK,IK Sirius,Allsvenskan,MAC,71,59,70,74,30,61,2,1
Kawin Thamsatchanan,67,GK,OH Leuven,1A Pro League,THA,69,66,61,70,35,68,4,1
Jordan Archer,67,GK,Motherwell,Scottish Prem,SCO,69,65,66,69,43,68,2,1
Jordan Archer,67,GK,Fulham,Premier League,SCO,69,65,66,69,43,68,2,1
Andrei Vlad,67,GK,FC FCSB,Liga I,ROM,69,62,65,68,34,63,3,1
Martin Chudý,67,GK,Górnik Zabrze,PKO Ekstraklasa,SVK,66,68,65,69,22,65,3,1
Ersin Destanoğlu,67,GK,Beşiktaş JK,Süper Lig,TUR,67,70,58,74,24,66,1,1
Danijel Zagorac,67,GK,Dinamo Zagreb,Liga Hrvatska,CRO,70,67,66,68,43,63,3,1
Manu García,67,GK,SD Ponferradina,LaLiga SmartBank,ESP,69,65,53,71,36,64,3,1
Marco Hiller,67,GK,TSV 1860 München,3. Liga,GER,69,67,51,71,32,67,3,1
Zubiaurre,67,GK,Real Sociedad,LaLiga Santander,ESP,65,66,67,68,30,63,3,1
Eike Bansen,67,GK,SV Zulte Waregem,1A Pro League,GER,70,67,60,65,21,64,3,1
Cristian Rivero,67,GK,Valencia CF,LaLiga Santander,ESP,71,60,62,73,27,62,3,1
Gaëtan Poussin,67,GK,FC Girondins de Bordeaux,Ligue 1 Uber Eats,FRA,68,66,64,66,20,67,2,1
Kai Eisele,67,GK,Hallescher FC,3. Liga,GER,70,66,63,72,19,66,5,1
Bruce Bvuma,67,GK,Kaizer Chiefs,South African FL,SAF,69,71,62,65,33,65,3,1
Oliver Christensen,67,GK,Odense Boldklub,3F Superliga,DEN,68,65,66,68,37,66,2,1
Gaëtan Coucke,67,GK,KV Mechelen,1A Pro League,BEL,68,65,66,68,39,63,3,1
Pontus Dahlberg,67,GK,BK Häcken,Allsvenskan,SWE,67,64,65,68,27,65,3,1
Yuji Kajikawa,67,GK,Yokohama F・Marinos,Meiji Yasuda J1,JAP,67,64,63,68,30,66,3,1
Alexandre Olliero,67,GK,Pau FC,Ligue 2 BKT,FRA,69,64,65,69,46,64,2,1
Miquel Parera,67,GK,RCD Mallorca,LaLiga SmartBank,ESP,72,64,62,72,38,61,3,1
Lawrence Ati Zigi,67,GK,FC St. Gallen 1879,RSL,GHA,68,64,61,69,40,65,3,1
Rene Swete,67,GK,TSV Prolactal Hartberg,Ö. Bundesliga,AT,70,58,66,72,47,67,3,1
Hidde Jurjus,67,GK,KFC Uerdingen 05,3. Liga,NED,70,61,62,71,45,62,3,1
Daniel Iversen,67,GK,OH Leuven,1A Pro League,DEN,69,65,69,68,42,67,2,1
Alex Bono,67,GK,Toronto FC,MLS,USA,67,66,66,68,41,64,2,1
Xavier Mous,67,GK,PEC Zwolle,Eredivisie,NED,69,66,65,65,39,63,2,1
Roberto Ramírez,67,GK,Godoy Cruz,Primera División,ARG,67,66,59,71,48,64,2,1
Iván Villar,67,GK,RC Celta,LaLiga Santander,ESP,69,62,64,69,32,65,2,1
Marko Maroši,67,GK,Coventry City,EFL Championship,SVK,68,64,68,68,41,66,3,1
Aarón,67,GK,Granada CF,LaLiga Santander,ESP,65,69,63,66,37,65,3,1
Azzeddine Doukha,67,GK,Al Raed,MBS Pro League,ALG,67,58,62,75,37,64,2,1
Alejandro Sánchez,67,GK,Club Atlético Central Córdoba,Primera División,ARG,66,63,66,69,22,67,2,1
Philipp Klewin,67,GK,FC Erzgebirge Aue,Bundesliga 2,GER,67,63,60,66,42,69,2,1
Julien Fabri,67,GK,Châteauroux,Ligue 2 BKT,FRA,66,67,62,68,51,66,3,1
Andrés Prieto,67,GK,Birmingham City,EFL Championship,ESP,65,67,66,68,39,69,2,1
Lucas Hägg Johansson,67,GK,Kalmar FF,Allsvenskan,SWE,71,63,65,68,38,65,3,1
Markus Kuster,67,GK,Karlsruher SC,Bundesliga 2,AT,66,69,62,67,30,66,3,1
Krzysztof Kamiński,67,GK,Wisła Płock,PKO Ekstraklasa,POL,67,66,65,64,36,68,3,1
Jakob Busk,67,GK,1. FC Union Berlin,Bundesliga,DEN,69,62,65,70,44,65,2,1
Chris Maxwell,67,GK,Blackpool,EFL League One,WAL,67,65,68,69,41,65,3,1
Neto Volpi,67,GK,Shimizu S-Pulse,Meiji Yasuda J1,BRA,67,65,69,67,49,65,2,1
Baptiste Valette,67,GK,AS Nancy Lorraine,Ligue 2 BKT,FRA,69,66,64,67,40,67,3,1
Ioannis Gelios,67,GK,Holstein Kiel,Bundesliga 2,GRE,69,70,62,68,46,64,3,1
Darren Keet,67,GK,OH Leuven,1A Pro League,SAF,69,66,65,66,45,66,2,1
David Mitov Nilsson,67,GK,Sarpsborg 08,Eliteserien,MAC,71,59,70,74,30,61,2,1
Luuk Koopmans,67,GK,ADO Den Haag,Eredivisie,NED,68,65,66,67,37,65,3,1
Jeff Attinella,67,GK,Portland Timbers,MLS,USA,69,61,66,69,43,65,3,1
Jakub Słowik,67,GK,Vegalta Sendai,Meiji Yasuda J1,POL,70,59,54,69,40,71,2,1
Vitus Eicher,67,GK,1. FC Heidenheim 1846,Bundesliga 2,GER,67,66,61,69,45,67,2,1
Yasser Al Mosailem,67,GK,Al Ahli,MBS Pro League,SAR,64,70,63,64,36,71,2,1
Brice Maubleu,67,GK,Grenoble Foot 38,Ligue 2 BKT,FRA,69,66,58,66,41,66,3,1
Simon Moore,67,GK,Sheffield United,Premier League,ENG,66,68,71,67,49,64,3,1
Max Grün,67,GK,Borussia Mönchengladbach,Bundesliga,GER,68,66,64,65,51,67,3,1
Kawin Thamsatchanan,67,GK,Hokkaido Consadole Sapporo,Meiji Yasuda J1,THA,69,66,61,70,35,68,4,1
Kevin Fickentscher,67,GK,FC Sion,RSL,SUI,65,64,61,71,49,66,3,1
Sebastian Mielitz,67,GK,FC Viktoria Köln,3. Liga,GER,67,64,65,68,42,67,4,1
Přemysl Kovář,67,GK,SK Slavia Praha,Česká Liga,CZ,68,62,69,69,33,66,2,1
Ramazan Köse,67,GK,Kasimpaşa SK,Süper Lig,TUR,70,60,56,71,34,70,3,1
Jason Steele,67,GK,Brighton & Hove Albion,Premier League,ENG,68,66,70,67,35,67,3,1
Erwin Zelazny,67,GK,Stade Malherbe Caen,Ligue 2 BKT,FRA,69,66,58,70,45,69,2,1
Mark Birighitti,67,GK,Central Coast Mariners,A-League,AUS,67,67,64,68,48,65,4,1
Miguel Jiménez,67,GK,Club Deportivo Guadalajara,LIGA BBVA MX,MEX,65,67,66,71,42,65,3,1
Luke Daniels,67,GK,Brentford,EFL Championship,ENG,67,63,65,75,49,62,3,1
Matthieu Dreyer,67,GK,FC Lorient,Ligue 1 Uber Eats,FRA,66,68,65,69,49,65,3,1
Andrew Redmayne,67,GK,Sydney FC,A-League,AUS,67,66,63,67,44,67,2,1
Thorsten Kirschbaum,67,GK,VVV-Venlo,Eredivisie,GER,70,66,67,69,26,61,2,1
Jamie Jones,67,GK,Wigan Athletic,EFL League One,ENG,69,66,64,68,34,65,2,1
Ben Amos,67,GK,Charlton Athletic,EFL League One,ENG,65,67,70,69,48,65,2,1
Ben Hamer,67,GK,Huddersfield Town,EFL Championship,ENG,68,62,66,68,45,66,3,1
Michael McGovern,67,GK,Norwich City,EFL Championship,NIR,68,65,64,68,33,68,3,1
Mauricio Caranta,67,GK,Club Atlético Talleres,Primera División,ARG,65,67,67,63,47,65,3,1
David Ousted,67,GK,Hammarby IF,Allsvenskan,DEN,67,68,66,65,37,66,3,1
Daniel Lopar,67,GK,Western Sydney Wanderers,A-League,SUI,67,65,61,67,40,65,2,1
Anders Lindegaard,67,GK,Helsingborgs IF,Allsvenskan,DEN,69,68,68,67,49,64,2,1
Lennart Moser,66,GK,1. FC Union Berlin,Bundesliga,GER,71,63,58,68,24,61,3,1
Leo Weinkauf,66,GK,MSV Duisburg,3. Liga,GER,68,66,57,69,19,68,3,1
Aly Keita,66,GK,Östersunds FK,Allsvenskan,GUI,69,61,79,68,21,60,2,1
Alex Bass,66,GK,Portsmouth,EFL League One,ENG,67,60,65,67,57,65,3,1
Jakob Haugaard,66,GK,AIK,Allsvenskan,DEN,65,63,72,66,43,66,3,1
Simon Sluga,66,GK,Luton Town,EFL Championship,CRO,66,65,67,70,56,62,3,1
Joshua Smits,66,GK,FK Bodø/Glimt,Eliteserien,NED,67,65,67,65,56,64,1,1
Joe Willis,66,GK,Nashville SC,MLS,USA,68,65,60,65,47,68,3,1
Louis Bostyn,66,GK,SV Zulte Waregem,1A Pro League,BEL,69,65,58,66,36,67,3,1
Ertuğrul Taşkıran,66,GK,Kasimpaşa SK,Süper Lig,TUR,62,67,58,66,54,67,2,1
Brad Knighton,66,GK,New England Revolution,MLS,USA,67,64,65,64,55,65,2,1
Mikkel Andersen,66,GK,FC Midtjylland,3F Superliga,DEN,67,63,59,66,35,67,3,1
Jasmin Fejzić,66,GK,Eintracht Braunschweig,Bundesliga 2,BOS,66,63,59,70,24,66,2,1
Christian Früchtl,66,GK,FC Bayern München,Bundesliga,GER,69,66,67,69,24,65,2,1
Morten Behrens,66,GK,SV Darmstadt 98,Bundesliga 2,GER,68,68,65,68,26,65,3,1
Joel Pereira,66,GK,RKC Waalwijk,Eredivisie,POR,66,65,65,67,43,64,2,1
Carlos Miguel,66,GK,New York Red Bulls,MLS,BRA,68,59,62,70,28,64,3,1
Evan Bush,66,GK,Columbus Crew SC,MLS,USA,68,63,63,69,32,64,2,1
Daniel Fuzato,66,GK,Roma FC,Serie A TIM,BRA,63,65,60,65,27,70,3,1
Mark Travers,66,GK,Swindon Town,EFL League One,IRL,67,66,64,66,40,65,2,1
Jakub Szumski,66,GK,BB Erzurumspor,Süper Lig,POL,68,63,64,68,22,66,3,1
Joel Pereira,66,GK,Huddersfield Town,EFL Championship,POR,66,65,65,67,43,64,2,1
Evan Bush,66,GK,Vancouver Whitecaps FC,MLS,USA,68,63,63,69,32,64,2,1
Diogo Sousa,66,GK,Sporting CP,Liga NOS,POR,67,64,60,66,33,65,2,1
Erce Kardeşler,66,GK,Trabzonspor,Süper Lig,TUR,66,63,62,67,41,67,2,1
Etienne Vaessen,66,GK,RKC Waalwijk,Eredivisie,NED,67,65,59,69,35,63,2,1
Ferdinand Oswald,66,GK,WSG Swarovski Tirol,Ö. Bundesliga,GER,68,64,62,64,23,66,4,1
Eduard Pap,66,GK,AFC Botoșani,Liga I,ROM,64,67,58,69,30,66,2,1
Dominik Kotarski,66,GK,Ajax,Eredivisie,CRO,65,62,62,67,29,68,2,1
Daniel Fuzato,66,GK,Gil Vicente FC,Liga NOS,BRA,63,65,60,65,27,70,3,1
Morten Behrens,66,GK,1. FC Magdeburg,3. Liga,GER,68,68,65,68,26,65,3,1
San Román,66,GK,Atlético de Madrid,LaLiga Santander,ESP,65,67,68,66,24,64,3,1
Carlos Miguel,66,GK,FC Red Bull Salzburg,Ö. Bundesliga,BRA,68,59,62,70,28,64,3,1
Song Bum Keun,66,GK,Jeonbuk Hyundai Motors,K League 1,KOR,67,64,65,66,25,65,2,1
Tim Boss,66,GK,SV Wehen Wiesbaden,3. Liga,GER,70,64,60,67,50,63,3,1
Roland Niczuly,66,GK,Sepsi OSK Sf. Gheorghe,Liga I,ROM,65,63,69,67,30,66,2,1
Christian Früchtl,66,GK,1. FC Nürnberg,Bundesliga 2,GER,69,66,67,69,24,65,2,1
Aleksandar Jovanović,66,GK,SD Huesca,LaLiga Santander,SRB,68,60,63,66,22,68,1,1
Babacar Niasse,66,GK,CD Tondela,Liga NOS,SEN,74,65,60,69,29,56,3,1
Luis Malagón,66,GK,Club Necaxa,LIGA BBVA MX,MEX,67,64,63,70,25,67,2,1
Tatsuya Morita,66,GK,Sagan Tosu,Meiji Yasuda J1,JAP,66,63,63,65,28,67,3,1
Mark Travers,66,GK,AFC Bournemouth,EFL Championship,IRL,67,66,64,66,40,65,2,1
Facundo Altamirano,66,GK,Club Atlético Banfield,Primera División,ARG,67,66,66,67,45,63,3,1
Lorenzo Andrenacci,66,GK,Brescia,Calcio B,ITA,67,68,59,69,50,66,3,1
André Moreira,66,GK,Belenenses,Liga NOS,POR,66,67,66,67,53,63,2,1
José Suárez,66,GK,Girona FC,LaLiga SmartBank,ESP,67,63,69,68,47,66,3,1
Lucas Pirard,66,GK,Waasland-Beveren,1A Pro League,BEL,66,63,62,69,33,64,2,1
Ali Şaşal Vural,66,GK,Sivasspor,Süper Lig,TUR,68,62,59,72,46,66,2,1
Muammer Yıldırım,66,GK,Sivasspor,Süper Lig,TUR,68,66,60,66,26,65,2,1
Max O'Leary,66,GK,Bristol City,EFL Championship,ENG,71,65,63,72,42,64,3,1
